mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_type,param_n_estimators_reg,param_n_estimators_clf,param_clf_type,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
140.0559180577596,2.4698461671378777,1.3237615426381428,0.1608867102798651,random_forest,400,150,logistic_regression,"{'reg_type': 'random_forest', 'n_estimators_reg': 400, 'n_estimators_clf': 150, 'clf_type': 'logistic_regression'}",0.6170647736668753,0.6267318610513375,0.5905578699720057,0.6114515015634061,0.015292068214874959,2
21.821879148483276,17.026439873768826,1.3173699378967285,0.3527814007368121,lasso,200,300,random_forest,"{'reg_type': 'lasso', 'n_estimators_reg': 200, 'n_estimators_clf': 300, 'clf_type': 'random_forest'}",0.5411440394476116,0.5682567559096146,0.576395821618589,0.561932205658605,0.015070323784747057,13
0.20674792925516763,0.0062752089490354275,0.05474114418029785,0.003940759469726277,ridge,400,150,svm,"{'reg_type': 'ridge', 'n_estimators_reg': 400, 'n_estimators_clf': 150, 'clf_type': 'svm'}",0.6372240022435107,0.593612738525656,0.5588744353578252,0.5965703920423306,0.032054375089184,3
35.912256161371864,2.445676959985388,1.4722753365834553,0.08085916330688979,random_forest,100,500,svm,"{'reg_type': 'random_forest', 'n_estimators_reg': 100, 'n_estimators_clf': 500, 'clf_type': 'svm'}",0.6307512360050076,0.5813599240967471,0.5423016279421058,0.5848042626812868,0.036191443674197805,8
392.80179540316266,19.862520065245235,261.4482045173645,368.71403103899166,gradient_boosting,400,300,gradient_boosting,"{'reg_type': 'gradient_boosting', 'n_estimators_reg': 400, 'n_estimators_clf': 300, 'clf_type': 'gradient_boosting'}",0.5831939038283849,0.5538535301462968,0.4974819184804013,0.5448431174850277,0.03556708928506808,18
66.55277721087138,0.8344713470024671,2.066986640294393,0.2786003017842728,gradient_boosting,100,300,random_forest,"{'reg_type': 'gradient_boosting', 'n_estimators_reg': 100, 'n_estimators_clf': 300, 'clf_type': 'random_forest'}",0.5433261650264085,0.5496994643647746,0.5740064913922023,0.5556773735944618,0.01321923234147101,15
64.46669268608093,3.297833290894556,0.6192307472229004,0.07685822078172576,gradient_boosting,100,500,logistic_regression,"{'reg_type': 'gradient_boosting', 'n_estimators_reg': 100, 'n_estimators_clf': 500, 'clf_type': 'logistic_regression'}",0.5909957176959613,0.5881518453171555,0.5774720998578108,0.5855398876236425,0.005821729531253959,7
574.6547883351644,381.7638554166917,1.362769365310669,0.36060070665681215,random_forest,200,500,gradient_boosting,"{'reg_type': 'random_forest', 'n_estimators_reg': 200, 'n_estimators_clf': 500, 'clf_type': 'gradient_boosting'}",0.6092627567882342,0.5826991245240023,0.5106758969097434,0.5675459260739933,0.04164978433417003,12
261.2008622487386,20.842912050421468,0.10957709948221843,0.0019610272768129885,ridge,200,500,gradient_boosting,"{'reg_type': 'ridge', 'n_estimators_reg': 200, 'n_estimators_clf': 500, 'clf_type': 'gradient_boosting'}",0.6251869652064738,0.5962642536771712,0.5279485094318993,0.5831332427718481,0.04076883536806641,9
3.56849996248881,0.2184901468771025,0.5419132709503174,0.10808267891744039,ridge,200,300,random_forest,"{'reg_type': 'ridge', 'n_estimators_reg': 200, 'n_estimators_clf': 300, 'clf_type': 'random_forest'}",0.5852687352882437,0.5920975870105046,0.6044299909133807,0.593932104404043,0.007929376597327039,6
