mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf_type,param_n_estimators_clf,param_n_estimators_reg,param_reg_type,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.341861406962077,0.36912764070226034,2.4487871328989663,0.3590436662356538,random_forest,150,100,gradient_boosting,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 100, 'reg_type': 'gradient_boosting'}",0.5189379790218251,0.5200263945039122,0.5124886609517416,0.517151011492493,0.0033265894936651596,90
6.453251202901204,0.16465564602719024,4.035367012023926,0.15538086844582583,random_forest,150,100,random_forest,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 100, 'reg_type': 'random_forest'}",0.552104598635892,0.5276914851336618,0.5482776670165994,0.5426912502620511,0.010720885126232729,42
1.3147100607554119,0.15452615772002806,1.3569231033325195,0.10920401667626274,random_forest,150,100,ridge,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 100, 'reg_type': 'ridge'}",0.5257900920923855,0.49412734968729505,0.5397162251561757,0.5198778889786188,0.019075324389956454,82
1.2501332759857178,0.06623803608542313,1.4238587220509846,0.05657245495035898,random_forest,150,100,lasso,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 100, 'reg_type': 'lasso'}",0.5477275487397535,0.4820553745872716,0.5300493245291819,0.5199440826187356,0.027746417787166164,79
18.14610719680786,0.6737345206324263,6.797885497411092,0.09226504642129058,random_forest,150,200,gradient_boosting,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 200, 'reg_type': 'gradient_boosting'}",0.5189397681793197,0.520046710674358,0.5125127869049523,0.5171664219195433,0.0033215026276874012,89
22.627721548080444,0.09289928875529158,5.249967813491821,0.11174649728831886,random_forest,150,200,random_forest,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 200, 'reg_type': 'random_forest'}",0.5527428730614763,0.5277839256881799,0.5515329744102794,0.5440199243866451,0.011491205448485874,41
3.5304171244303384,0.06025967759461788,0.907507578531901,0.019885428931781492,random_forest,150,200,ridge,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 200, 'reg_type': 'ridge'}",0.5257900920923855,0.49412734968729505,0.5397162251561757,0.5198778889786188,0.019075324389956454,82
2.926603635152181,0.09394509358201766,1.012941042582194,0.02780851960718834,random_forest,150,200,lasso,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 200, 'reg_type': 'lasso'}",0.5477275487397535,0.4820553745872716,0.5300493245291819,0.5199440826187356,0.027746417787166164,79
38.716734091440834,0.7609925687097315,1.8801738421122234,0.24658687638967647,random_forest,150,400,gradient_boosting,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 400, 'reg_type': 'gradient_boosting'}",0.5189396756449229,0.5200470461505051,0.5125134471389312,0.5171667229781197,0.003321274793995044,88
51.42581295967102,0.5315701910954046,6.469752470652263,0.39951111804112344,random_forest,150,400,random_forest,"{'clf_type': 'random_forest', 'n_estimators_clf': 150, 'n_estimators_reg': 400, 'reg_type': 'random_forest'}",0.5524185829027836,0.534158292327848,0.5485922419071236,0.5450563723792518,0.007862838035504758,40
