epoch,train,val_loss,val_species,val_phylum,val_solvents,val_assays,val_total
1,"{'species': 2.367331027984619, 'phylum': 1.8148756821950276, 'solvents': 0.04159601250042518, 'assays': 0.03977651335299015, 'total': 3.3481860955556235}",3.355445384979248,2.4010205268859863,1.7525111436843872,0.048822131007909775,0.03668390214443207,3.355445384979248
2,"{'species': 2.220770835876465, 'phylum': 1.7990926106770833, 'solvents': 0.04152762206892172, 'assays': 0.041823058078686394, 'total': 3.195303122202555}",3.296152114868164,2.3692474365234375,1.7050944566726685,0.045278400182724,0.036349114030599594,3.296152114868164
3,"{'species': 2.0847854614257812, 'phylum': 1.7155752579371135, 'solvents': 0.040276884411772094, 'assays': 0.041546001409490906, 'total': 3.01608673731486}",3.1750810146331787,2.3092267513275146,1.5932368040084839,0.040875330567359924,0.03545038774609566,3.1750810146331787
4,"{'species': 2.6457661787668862, 'phylum': 1.7656808694203694, 'solvents': 0.03748378281792005, 'assays': 0.0609175314505895, 'total': 3.6148245334625244}",3.0141453742980957,2.2197558879852295,1.458505392074585,0.03782307729125023,0.03414247930049896,3.0141453742980957
5,"{'species': 2.1620267232259116, 'phylum': 1.6883031129837036, 'solvents': 0.03963491568962733, 'assays': 0.04032564380516609, 'total': 3.0780736605326333}",2.819844961166382,2.077877998352051,1.3626197576522827,0.034030064940452576,0.03328376263380051,2.819844961166382
6,"{'species': 1.9156328439712524, 'phylum': 1.6329785188039143, 'solvents': 0.03132872097194195, 'assays': 0.03835866414010525, 'total': 2.794137716293335}",2.6943037509918213,1.983673095703125,1.3080675601959229,0.030876267701387405,0.03215114399790764,2.6943037509918213
7,"{'species': 1.713619351387024, 'phylum': 1.4228380521138508, 'solvents': 0.027457645318160456, 'assays': 0.035579316318035126, 'total': 2.480959415435791}",2.6580116748809814,1.964556336402893,1.2791695594787598,0.029455455020070076,0.03051886335015297,2.6580116748809814
8,"{'species': 1.344580054283142, 'phylum': 1.9447249968846638, 'solvents': 0.053336488703886666, 'assays': 0.071603258450826, 'total': 2.4275616804758706}",2.651810884475708,1.9690958261489868,1.2615532875061035,0.02889879047870636,0.028799332678318024,2.651810884475708
9,"{'species': 1.1966513395309448, 'phylum': 1.01555335521698, 'solvents': 0.03200326052804788, 'assays': 0.038884359101454415, 'total': 1.7675389051437378}",2.686358690261841,2.0000340938568115,1.2724785804748535,0.027704935520887375,0.0279755387455225,2.686358690261841
10,"{'species': 1.011687532067299, 'phylum': 0.815034752090772, 'solvents': 0.03449170539776484, 'assays': 0.04491098845998446, 'total': 1.4896253049373627}",2.6572165489196777,1.993644118309021,1.2299599647521973,0.025557180866599083,0.028794119134545326,2.6572165489196777
11,"{'species': 1.3596573273340862, 'phylum': 0.9750414490699768, 'solvents': 0.04247039556503296, 'assays': 0.06252289935946465, 'total': 1.939666748046875}",2.5261929035186768,1.8962961435317993,1.1637072563171387,0.023737136274576187,0.030382255092263222,2.5261929035186768
12,"{'species': 0.9180147250493368, 'phylum': 0.8539735277493795, 'solvents': 0.048565834760665894, 'assays': 0.04906816904743513, 'total': 1.4328218897183735}",2.363032817840576,1.7523319721221924,1.125687599182129,0.022471357136964798,0.031732022762298584,2.363032817840576
13,"{'species': 0.9478063384691874, 'phylum': 0.6346389055252075, 'solvents': 0.024793050562342007, 'assays': 0.055391035974025726, 'total': 1.3342317342758179}",2.2269160747528076,1.6232863664627075,1.1156858205795288,0.021725622937083244,0.030076580122113228,2.2269160747528076
14,"{'species': 0.6929947137832642, 'phylum': 0.6272854705651602, 'solvents': 0.027222874263922375, 'assays': 0.04688116908073425, 'total': 1.071365237236023}",2.2467446327209473,1.6347509622573853,1.1384769678115845,0.021914713084697723,0.026050575077533722,2.2467446327209473
15,"{'species': 0.934550940990448, 'phylum': 1.0517905155817668, 'solvents': 0.029255596299966175, 'assays': 0.03876003002127012, 'total': 1.520709792772929}",2.3199498653411865,1.669887661933899,1.2088868618011475,0.0248683113604784,0.025938136503100395,2.3199498653411865
16,"{'species': 0.7500578959782919, 'phylum': 0.931353360414505, 'solvents': 0.027926068753004074, 'assays': 0.04702909787495931, 'total': 1.2812838951746623}",2.175572156906128,1.535510778427124,1.1901055574417114,0.02633659541606903,0.023340126499533653,2.175572156906128
17,"{'species': 0.5423138042291006, 'phylum': 0.42280177275339764, 'solvents': 0.0356523705025514, 'assays': 0.04218894988298416, 'total': 0.8231182297070821}",2.1081762313842773,1.512178659439087,1.10750412940979,0.024331845343112946,0.022391991689801216,2.1081762313842773
18,"{'species': 0.49604488412539166, 'phylum': 0.4801115294297536, 'solvents': 0.037826775262753166, 'assays': 0.043988109876712166, 'total': 0.8091179132461548}",2.321535587310791,1.7703131437301636,1.0291693210601807,0.020997557789087296,0.019550366327166557,2.321535587310791
19,"{'species': 0.4041749487320582, 'phylum': 0.4061985909938812, 'solvents': 0.026825139299035072, 'assays': 0.034310185660918556, 'total': 0.6615475217501322}",2.5540623664855957,2.053391456604004,0.939493715763092,0.01776544563472271,0.0164481308311224,2.5540623664855957
20,"{'species': 0.5827044447263082, 'phylum': 0.3684386412302653, 'solvents': 0.022343420423567295, 'assays': 0.0350603008021911, 'total': 0.817315419514974}",2.6252079010009766,2.124748945236206,0.9445280432701111,0.015300634317100048,0.01611771062016487,2.6252079010009766
21,"{'species': 0.32767345011234283, 'phylum': 0.24795334662000337, 'solvents': 0.02314951332906882, 'assays': 0.04239527756969134, 'total': 0.508715863029162}",2.6374728679656982,2.0944983959198,1.0335845947265625,0.013466021977365017,0.015895020216703415,2.6374728679656982
22,"{'species': 0.29712568037211895, 'phylum': 0.26241435498620075, 'solvents': 0.022939132526516914, 'assays': 0.021914079474906128, 'total': 0.46880327103038627}",2.619683265686035,1.9993157386779785,1.1872602701187134,0.015202641487121582,0.014418231323361397,2.619683265686035
