epoch,train,val_loss,val_species,val_phylum,val_solvents,val_assays,val_total
1,"{'species': 2.367331027984619, 'phylum': 1.8148756821950276, 'solvents': 0.04159601156910261, 'assays': 0.039776514594753586, 'total': 3.3481860955556235}",3.3554458618164062,2.4010210037231445,1.7525111436843872,0.048822131007909775,0.03668390214443207,3.3554458618164062
2,"{'species': 2.2207706769307456, 'phylum': 1.7990926106770833, 'solvents': 0.04152762331068516, 'assays': 0.04182306304574013, 'total': 3.195302883783976}",3.296152353286743,2.3692476749420166,1.7050944566726685,0.045278400182724,0.036349114030599594,3.296152353286743
3,"{'species': 2.0847856203715005, 'phylum': 1.7155753374099731, 'solvents': 0.04027688130736351, 'assays': 0.041546005134781204, 'total': 3.0160868962605796}",3.1750810146331787,2.3092267513275146,1.5932368040084839,0.040875330567359924,0.03545038402080536,3.1750810146331787
4,"{'species': 2.645766019821167, 'phylum': 1.7656809488932292, 'solvents': 0.03748378405968348, 'assays': 0.06091752896706263, 'total': 3.6148242950439453}",3.0141453742980957,2.2197558879852295,1.4585052728652954,0.03782307356595993,0.03414247930049896,3.0141453742980957
5,"{'species': 2.162026882171631, 'phylum': 1.6883030732472737, 'solvents': 0.039634919414917626, 'assays': 0.04032564380516609, 'total': 3.078073740005493}",2.8198447227478027,2.0778777599334717,1.3626196384429932,0.03403007239103317,0.03328376263380051,2.8198447227478027
6,"{'species': 1.9156328042348225, 'phylum': 1.6329785982767742, 'solvents': 0.031328716625769935, 'assays': 0.038358661656578384, 'total': 2.794137716293335}",2.6943042278289795,1.983673334121704,1.3080675601959229,0.030876271426677704,0.03215114027261734,2.6943042278289795
7,"{'species': 1.713619311650594, 'phylum': 1.4228381713231404, 'solvents': 0.02745764780168732, 'assays': 0.03557931957766414, 'total': 2.480959415435791}",2.6580116748809814,1.964556336402893,1.2791695594787598,0.02945544943213463,0.03051886335015297,2.6580116748809814
8,"{'species': 1.3445800145467122, 'phylum': 1.9447249968846638, 'solvents': 0.053336488703886666, 'assays': 0.07160324975848198, 'total': 2.427561601003011}",2.651810884475708,1.9690958261489868,1.2615532875061035,0.02889879047870636,0.028799332678318024,2.651810884475708
9,"{'species': 1.1966514190038045, 'phylum': 1.0155534148216248, 'solvents': 0.032003253698349, 'assays': 0.0388843659311533, 'total': 1.7675389448801677}",2.686358690261841,2.0000340938568115,1.272478699684143,0.027704937383532524,0.02797553688287735,2.686358690261841
10,"{'species': 1.0116875718037288, 'phylum': 0.815034752090772, 'solvents': 0.03449169732630253, 'assays': 0.044910973558823265, 'total': 1.4896253248055775}",2.657217025756836,1.9936442375183105,1.2299602031707764,0.025557180866599083,0.02879410982131958,2.657217025756836
11,"{'species': 1.3596573670705159, 'phylum': 0.9750415285428365, 'solvents': 0.04247038501004378, 'assays': 0.06252289935946465, 'total': 1.939666787783305}",2.5261929035186768,1.8962963819503784,1.1637072563171387,0.023737134411931038,0.030382249504327774,2.5261929035186768
12,"{'species': 0.9180147548516592, 'phylum': 0.8539734482765198, 'solvents': 0.048565834760665894, 'assays': 0.049068170289198555, 'total': 1.4328218698501587}",2.363032817840576,1.7523319721221924,1.1256874799728394,0.0224713534116745,0.03173200786113739,2.363032817840576
13,"{'species': 0.9478062987327576, 'phylum': 0.6346388260523478, 'solvents': 0.024793048699696858, 'assays': 0.05539103100697199, 'total': 1.3342316150665283}",2.2269163131713867,1.623286485671997,1.1156859397888184,0.021725624799728394,0.03007657267153263,2.2269163131713867
14,"{'species': 0.692994624376297, 'phylum': 0.6272855897744497, 'solvents': 0.02722287488480409, 'assays': 0.04688116783897082, 'total': 1.0713651577631633}",2.2467446327209473,1.6347510814666748,1.138477087020874,0.021914703771471977,0.026050562039017677,2.2467446327209473
15,"{'species': 0.934550921122233, 'phylum': 1.0517904162406921, 'solvents': 0.029255589470267296, 'assays': 0.03876002381245295, 'total': 1.520709713300069}",2.3199496269226074,1.6698874235153198,1.208886981010437,0.024868307635188103,0.025938138365745544,2.3199496269226074
16,"{'species': 0.7500581741333008, 'phylum': 0.9313532014687856, 'solvents': 0.027926072167853516, 'assays': 0.04702910284201304, 'total': 1.2812840541203816}",2.175572395324707,1.535510778427124,1.1901057958602905,0.02633659355342388,0.023340124636888504,2.175572395324707
17,"{'species': 0.5423139135042826, 'phylum': 0.4228018621603648, 'solvents': 0.0356523630519708, 'assays': 0.04218895360827446, 'total': 0.8231183787186941}",2.1081762313842773,1.512178659439087,1.1075043678283691,0.024331850931048393,0.02239198423922062,2.1081762313842773
18,"{'species': 0.4960450331370036, 'phylum': 0.48011185725529987, 'solvents': 0.03782678457597891, 'assays': 0.043988132228453956, 'total': 0.8091182311375936}",2.321535587310791,1.770313024520874,1.0291695594787598,0.020997563377022743,0.01955036073923111,2.321535587310791
19,"{'species': 0.4041747947533925, 'phylum': 0.4061984568834305, 'solvents': 0.02682513991991679, 'assays': 0.03431018441915512, 'total': 0.6615473131338755}",2.5540623664855957,2.053391456604004,0.9394938349723816,0.017765449360013008,0.01644812524318695,2.5540623664855957
20,"{'species': 0.5827046632766724, 'phylum': 0.3684389591217041, 'solvents': 0.02234341794004043, 'assays': 0.03506031259894371, 'total': 0.8173157970110575}",2.6252081394195557,2.124749183654785,0.9445281624794006,0.015300637111067772,0.016117706894874573,2.6252081394195557
21,"{'species': 0.3276735196510951, 'phylum': 0.24795335655411085, 'solvents': 0.023149507741133373, 'assays': 0.042395262668530144, 'total': 0.5087159276008606}",2.6374733448028564,2.094498872756958,1.0335845947265625,0.013466017320752144,0.015895020216703415,2.6374733448028564
22,"{'species': 0.2971257797131936, 'phylum': 0.2624143053156634, 'solvents': 0.022939123834172886, 'assays': 0.02191407753465076, 'total': 0.468803308904171}",2.6196835041046143,1.9993160963058472,1.1872605085372925,0.015202632173895836,0.014418224804103374,2.6196835041046143
23,"{'species': 0.3059278031190236, 'phylum': 0.17343725760777792, 'solvents': 0.024287934725483257, 'assays': 0.02379508378605048, 'total': 0.4359704504410426}",2.5910086631774902,1.9136894941329956,1.296372652053833,0.016669608652591705,0.015579170547425747,2.5910086631774902
24,"{'species': 0.3201059599717458, 'phylum': 0.22248300909996033, 'solvents': 0.026410628731052082, 'assays': 0.02550594291339318, 'total': 0.47816282510757446}",2.65901517868042,1.924602746963501,1.4107369184494019,0.014762184582650661,0.017852146178483963,2.65901517868042
25,"{'species': 0.3095501661300659, 'phylum': 0.25252587099870044, 'solvents': 0.02527782383064429, 'assays': 0.018667023434924584, 'total': 0.4760245482126872}",2.7379958629608154,1.9293032884597778,1.560181975364685,0.01320169772952795,0.019250061362981796,2.7379958629608154
26,"{'species': 0.7688235292832056, 'phylum': 0.9079304151237011, 'solvents': 0.01754042855463922, 'assays': 0.02952362100283305, 'total': 1.263948033253352}",2.752695322036743,1.8914010524749756,1.6638822555541992,0.013058772310614586,0.020368214696645737,2.752695322036743
27,"{'species': 0.22304251044988632, 'phylum': 0.23050558070341745, 'solvents': 0.04245563286046187, 'assays': 0.029817215477426846, 'total': 0.40460471312205}",2.865527391433716,1.9308428764343262,1.8116639852523804,0.012094700708985329,0.020947270095348358,2.865527391433716
28,"{'species': 0.17655773107738545, 'phylum': 0.10788845767213691, 'solvents': 0.020411090925335884, 'assays': 0.06457814325888951, 'total': 0.3025755633910497}",2.9590189456939697,1.986459493637085,1.886482834815979,0.01122781727463007,0.0226128026843071,2.9590189456939697
29,"{'species': 0.2298294515348971, 'phylum': 0.15608482322810838, 'solvents': 0.018591505475342274, 'assays': 0.02476954460144043, 'total': 0.34627900769313175}",2.8585383892059326,1.9318093061447144,1.79494309425354,0.009886270388960838,0.02421419881284237,2.8585383892059326
30,"{'species': 0.14519760757684708, 'phylum': 0.2889325867096583, 'solvents': 0.017862544084588688, 'assays': 0.02999410716195901, 'total': 0.3315217246611913}",2.8423573970794678,1.9447931051254272,1.7382521629333496,0.009332003071904182,0.02388286031782627,2.8423573970794678
