mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_type,param_n_estimators_reg,param_n_estimators_clf,param_clf_type,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
65.20403258005778,1.452811551456197,2.6369765599568686,0.25093480449198463,random_forest,400,150,logistic_regression,"{'reg_type': 'random_forest', 'n_estimators_reg': 400, 'n_estimators_clf': 150, 'clf_type': 'logistic_regression'}",0.5367131166297845,0.5581033739677302,0.5373207658397003,0.5440457521457384,0.009943334714208798,3
7.275494813919067,0.39347591671992443,3.214637597401937,0.07952665784310897,lasso,200,300,random_forest,"{'reg_type': 'lasso', 'n_estimators_reg': 200, 'n_estimators_clf': 300, 'clf_type': 'random_forest'}",0.5300405305954345,0.5337527872392925,0.538704818209985,0.5341660453482373,0.003549230589425391,7
0.13529769579569498,0.013936992655080792,0.04618223508199056,0.00862534084264554,ridge,400,150,svm,"{'reg_type': 'ridge', 'n_estimators_reg': 400, 'n_estimators_clf': 150, 'clf_type': 'svm'}",0.5068688445554774,0.48926201166926,0.4991006541344053,0.49841050345304755,0.007204506554605526,15
17.84912308057149,2.6560596088373916,3.0685249964396157,0.6708016834925337,random_forest,100,500,svm,"{'reg_type': 'random_forest', 'n_estimators_reg': 100, 'n_estimators_clf': 500, 'clf_type': 'svm'}",0.5080132568302858,0.5331221686798084,0.5406275063020272,0.5272543106040405,0.013946233325388446,8
123.51662874221802,2.5409306286178546,1.082036813100179,0.5909482045331912,gradient_boosting,400,300,gradient_boosting,"{'reg_type': 'gradient_boosting', 'n_estimators_reg': 400, 'n_estimators_clf': 300, 'clf_type': 'gradient_boosting'}",0.5169696793506953,0.5498549692208667,0.5086073409941799,0.5251439965219139,0.017803675734587385,11
20.754109462102253,1.9238474073087244,4.881958802541097,1.3332214314961903,gradient_boosting,100,300,random_forest,"{'reg_type': 'gradient_boosting', 'n_estimators_reg': 100, 'n_estimators_clf': 300, 'clf_type': 'random_forest'}",0.5122076952654664,0.5371454597028325,0.5097434689560031,0.5196988746414339,0.012377549583944908,13
9.219793240229288,0.7217334925231821,1.1068572203318279,0.4930754002800084,gradient_boosting,100,500,logistic_regression,"{'reg_type': 'gradient_boosting', 'n_estimators_reg': 100, 'n_estimators_clf': 500, 'clf_type': 'logistic_regression'}",0.5114662063622127,0.541964911749296,0.4887907399111688,0.5140739526742258,0.021786439104613257,14
130.9609398841858,1.5951510252437873,2.178539832433065,0.6567058666171537,random_forest,200,500,gradient_boosting,"{'reg_type': 'random_forest', 'n_estimators_reg': 200, 'n_estimators_clf': 500, 'clf_type': 'gradient_boosting'}",0.5477675558665425,0.5686791177027193,0.5596642242767814,0.5587036326153477,0.008564088076071834,1
104.75901015599568,4.145419811633392,0.08391165733337402,0.00755318426527766,ridge,200,500,gradient_boosting,"{'reg_type': 'ridge', 'n_estimators_reg': 200, 'n_estimators_clf': 500, 'clf_type': 'gradient_boosting'}",0.5354958625255966,0.524945129720799,0.51830002883378,0.5262470070267252,0.007080270120973138,9
4.908727566401164,0.40965395012306804,1.0828247865041096,0.16495806837607283,ridge,200,300,random_forest,"{'reg_type': 'ridge', 'n_estimators_reg': 200, 'n_estimators_clf': 300, 'clf_type': 'random_forest'}",0.5307213445312644,0.5122001926655171,0.5194114880373444,0.520777675078042,0.0076226905521671,12
92.36871417363484,3.4666491439962797,0.08426713943481445,0.020963817252255587,lasso,100,300,gradient_boosting,"{'reg_type': 'lasso', 'n_estimators_reg': 100, 'n_estimators_clf': 300, 'clf_type': 'gradient_boosting'}",0.5348150485897667,0.5464977242945744,0.5375933590064206,0.5396353772969206,0.004983212279241752,5
0.3937265872955322,0.0956580941698955,0.061672051747639976,0.022562335311797597,ridge,200,150,svm,"{'reg_type': 'ridge', 'n_estimators_reg': 200, 'n_estimators_clf': 150, 'clf_type': 'svm'}",0.5068688445554774,0.48926201166926,0.4991006541344053,0.49841050345304755,0.007204506554605526,15
